category,title,upc,price_incl_tax,price_excl_tax,tax,rating,availability,stock_count,num_reviews,product_url,image_url,image_status,image_path,image_bytes
Classics,The Pilgrim's Progress,6053ddf69c967d5f,50.26,50.26,0.0,2,In stock (4 available),4,0,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,https://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\classics\the-pilgrim-s-progress_1a876922.jpg,49326
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),6587f46697fc4443,14.82,14.82,0.0,2,In stock (4 available),4,0,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,https://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\classics\the-hound-of-the-baskervilles-sherlock-holmes-5_6095886f.jpg,41375
Philosophy,Sophie's World,6be3beb0793a53e7,15.94,15.94,0.0,5,In stock (18 available),18,0,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\philosophy\sophie-s-world_2a235075.jpg,44576
Philosophy,The Death of Humanity: and the Case for Life,bd261725b99f5983,58.11,58.11,0.0,4,In stock (16 available),16,0,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\philosophy\the-death-of-humanity-and-the-case-for-life_367a001f.jpg,51734
Philosophy,The Stranger,f5a92cff83897d48,17.44,17.44,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-stranger_861/index.html,https://books.toscrape.com/media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\philosophy\the-stranger_764fa82e.jpg,46496
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,d56d0710668bb39c,54.21,54.21,0.0,1,In stock (8 available),8,0,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,https://books.toscrape.com/media/cache/f6/cb/f6cb2300a1235a344f1c11b2be9a605d.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\philosophy\proofs-of-god-classical-arguments-from-tertullian-to-barth_6873811c.jpg,29743
Romance,Chase Me (Paris Nights #2),c2e46a2ee3b4a322,25.27,25.27,0.0,5,In stock (19 available),19,0,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\romance\chase-me-paris-nights-2_072879f8.jpg,42542
Romance,Black Dust,00bfed9e18bb36f3,34.53,34.53,0.0,5,In stock (19 available),19,0,https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\romance\black-dust_dc978ecb.jpg,32378
Romance,Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7,33.97,33.97,0.0,1,In stock (16 available),16,0,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,https://books.toscrape.com/media/cache/41/ee/41ee38c1d15f0139a3fb17b730dc4347.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\romance\her-backup-boyfriend-the-sorensen-family-1_34f83db4.jpg,50708
Romance,First and First (Five Boroughs #3),9e28048cea8d41f7,15.97,15.97,0.0,4,In stock (16 available),16,0,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,https://books.toscrape.com/media/cache/01/a5/01a5285b17e7ec0e7e56294a8f8af28d.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\romance\first-and-first-five-boroughs-3_077bef08.jpg,29747
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,fd8585283fc7d2d7,57.36,57.36,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,https://books.toscrape.com/media/cache/60/e9/60e9df360fec611b15a1bbb4c28aad22.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\womens-fiction\i-had-a-nice-time-and-other-lies-how-to-find-love-sh-t-like_b685ace5.jpg,33789
Womens Fiction,Will You Won't You Want Me?,077b635ff2afc578,13.86,13.86,0.0,3,In stock (12 available),12,0,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html,https://books.toscrape.com/media/cache/b9/ef/b9efe934eaeb1f51ad31a971188d7bc3.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\womens-fiction\will-you-won-t-you-want-me_8843918c.jpg,42634
Womens Fiction,Keep Me Posted,20dc4f1ac5d4fd9c,20.46,20.46,0.0,4,In stock (11 available),11,0,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html,https://books.toscrape.com/media/cache/9c/84/9c845ad6a9d4ecf44d53ac0e3b8f54ae.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\womens-fiction\keep-me-posted_026cb0af.jpg,28856
Womens Fiction,Grey (Fifty Shades #4),b5953ca1f8a0b8d7,48.49,48.49,0.0,4,In stock (11 available),11,0,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html,https://books.toscrape.com/media/cache/c8/06/c806501c08d2b2cd72f2362a3da6ab80.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\womens-fiction\grey-fifty-shades-4_e6f1fea1.jpg,32133
Fiction,Soumission,6957f44c3847a760,50.1,50.1,0.0,1,In stock (20 available),20,0,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\fiction\soumission_70c6fe4e.jpg,9403
Fiction,Private Paris (Private #10),b12b89017878a60d,47.61,47.61,0.0,5,In stock (17 available),17,0,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\fiction\private-paris-private-10_97b69382.jpg,52641
Fiction,"We Love You, Charlie Freeman",8d455c7539795d2a,50.27,50.27,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\fiction\we-love-you-charlie-freeman_e4c6ebb6.jpg,59898
Fiction,Thirst,709822d0b5bcb7f4,17.27,17.27,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\fiction\thirst_3c13f4bc.jpg,15360
Childrens,Birdsong: A Story in Pictures,9528d0948525bf5f,54.64,54.64,0.0,3,In stock (19 available),19,0,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\childrens\birdsong-a-story-in-pictures_98167368.jpg,30829
Childrens,The Bear and the Piano,9f6568e9c95f60b0,36.89,36.89,0.0,1,In stock (18 available),18,0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\childrens\the-bear-and-the-piano_a2de8944.jpg,27292
Childrens,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,56.13,56.13,0.0,1,In stock (16 available),16,0,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\childrens\the-secret-of-dreadwillow-carse_27080b5b.jpg,55275
Childrens,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,37c0cb19713d8dda,58.08,58.08,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,https://books.toscrape.com/media/cache/49/0e/490e049133ee9f398e6a70f25c12e308.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\childrens\the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-b_078ab0b1.jpg,59932
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22,37.97,37.97,0.0,2,In stock (16 available),16,0,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,https://books.toscrape.com/media/cache/a7/9c/a79cac7aec3816fb754c1aedd2e82986.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\religion\don-t-be-a-jerk-and-other-practical-advice-from-dogen-japan_c8a452df.jpg,64779
Religion,You Are What You Love: The Spiritual Power of Habit,796c87ddbbaaf8c5,21.87,21.87,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,https://books.toscrape.com/media/cache/52/9b/529bf0d806ae2ab02bf23da4326b24c3.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\religion\you-are-what-you-love-the-spiritual-power-of-habit_3895afbc.jpg,34369
Religion,God: The Most Unpleasant Character in All Fiction,eec424a84c9e4c68,30.03,30.03,0.0,5,In stock (14 available),14,0,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,https://books.toscrape.com/media/cache/41/d8/41d8915a712c2a56f1c5182c11445551.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\religion\god-the-most-unpleasant-character-in-all-fiction_7e64e848.jpg,44923
Religion,The Book of Mormon,3f25a2fedae191cc,24.57,24.57,0.0,3,In stock (9 available),9,0,https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html,https://books.toscrape.com/media/cache/d7/c8/d7c885771d5e843cc2db6b0e5183c0c5.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\religion\the-book-of-mormon_8fea552e.jpg,67301
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4c28def39d850cdf,40.3,40.3,0.0,5,In stock (18 available),18,0,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\nonfiction\worlds-elsewhere-journeys-around-shakespeare-s-globe_57520709.jpg,62000
Nonfiction,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,31.05,31.05,0.0,3,In stock (18 available),18,0,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\nonfiction\the-five-love-languages-how-to-express-heartfelt-commitment_51af4d5b.jpg,14484
Nonfiction,Reasons to Stay Alive,c8f7f0cb1abb9cac,26.41,26.41,0.0,2,In stock (17 available),17,0,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\nonfiction\reasons-to-stay-alive_de34d136.jpg,23252
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,23.11,23.11,0.0,5,In stock (17 available),17,0,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\nonfiction\higherselfie-wake-up-your-life-free-your-soul-find-your-trib_d2d96d09.jpg,48366
Music,Rip it Up and Start Again,a34ba96d4081e6a4,35.02,35.02,0.0,5,In stock (19 available),19,0,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\music\rip-it-up-and-start-again_09f1546f.jpg,30823
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,57.25,57.25,0.0,3,In stock (19 available),19,0,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\music\our-band-could-be-your-life-scenes-from-the-american-indie-u_919d2c94.jpg,52727
Music,How Music Works,327f68a59745c102,37.32,37.32,0.0,2,In stock (19 available),19,0,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\music\how-music-works_7dc29ae5.jpg,15655
Music,Love Is a Mix Tape (Music #1),adb5f51c2e2ab13f,18.03,18.03,0.0,1,In stock (14 available),14,0,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html,https://books.toscrape.com/media/cache/b2/43/b2430e3958014d962042a14a912151ac.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\music\love-is-a-mix-tape-music-1_3d7e0bdd.jpg,40222
Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,17.93,17.93,0.0,3,In stock (19 available),19,0,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\default\the-coming-woman-a-novel-based-on-the-life-of-the-infamous-f_c6011aae.jpg,30984
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,22.6,22.6,0.0,4,In stock (19 available),19,0,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\default\the-boys-in-the-boat-nine-americans-and-their-epic-quest-for_542b3e5a.jpg,41864
Default,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,13.99,13.99,0.0,2,In stock (19 available),19,0,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\default\starving-hearts-triangular-trade-trilogy-1_3c811b52.jpg,64036
Default,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,22.5,22.5,0.0,3,In stock (19 available),19,0,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\default\america-s-cradle-of-quarterbacks-western-pennsylvania-s-foot_b8d2a40d.jpg,50186
Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,37.59,37.59,0.0,1,In stock (19 available),19,0,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\science-fiction\mesaerion-the-best-science-fiction-stories-1800-1849_18f54e91.jpg,50384
Science Fiction,Join,18ad3ed896c7ce05,35.67,35.67,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/join_902/index.html,https://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\science-fiction\join_cf66e26d.jpg,61493
Science Fiction,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",9270575728a13a61,43.3,43.3,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,https://books.toscrape.com/media/cache/02/7a/027a1f131d94c38f9e785f5d85a109c7.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\science-fiction\william-shakespeare-s-star-wars-verily-a-new-hope-william-sh_76b40bf8.jpg,54364
Science Fiction,The Project,790ef197c8f236f5,10.65,10.65,0.0,1,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-project_856/index.html,https://books.toscrape.com/media/cache/4c/57/4c57c192057269132623f9c6b3f69559.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\science-fiction\the-project_1f0732f4.jpg,46036
Sports and Games,The Book of Basketball: The NBA According to The Sports Guy,08decd9664e5d56e,44.84,44.84,0.0,5,In stock (3 available),3,0,https://books.toscrape.com/catalogue/the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html,https://books.toscrape.com/media/cache/73/bb/73bbe0a70806f8a732b9a7a7a343c5ec.jpg,downloaded,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task2\images\sports-and-games\the-book-of-basketball-the-nba-according-to-the-sports-guy_d6222345.jpg,46101
